step,tokens,elapsed_s,unix_ts,loss,grad_norm,lr_mult,tok_s
2500,655360000,16359.9,1786124106.9,3.3074,0.204,0.8337,40679
2520,660602880,16506.8,1786124253.7,3.3398,0.194,0.8403,35703
2540,665845760,16635.5,1786124382.5,3.2940,0.188,0.8470,40716
2560,671088640,16764.3,1786124511.3,3.3185,0.187,0.8537,40701
2580,676331520,16893.4,1786124640.3,3.3121,0.196,0.8603,40638
2600,681574400,17022.1,1786124769.1,3.3218,0.198,0.8670,40714
2620,686817280,17150.8,1786124897.8,3.3457,0.183,0.8737,40737
2640,692060160,17279.5,1786125026.4,3.2919,0.193,0.8803,40759
2660,697303040,17408.0,1786125155.0,3.2968,0.188,0.8870,40782
2680,702545920,17536.7,1786125283.7,3.3566,0.187,0.8937,40743
2700,707788800,17665.4,1786125412.4,3.3113,0.187,0.9003,40740
2720,713031680,17794.1,1786125541.1,3.2764,0.184,0.9070,40736
2740,718274560,17922.8,1786125669.8,3.2883,0.176,0.9137,40740
2760,723517440,18069.0,1786125816.0,3.2493,0.171,0.9203,35853
2780,728760320,18197.5,1786125944.5,3.3101,0.179,0.9270,40809
2800,734003200,18326.2,1786126073.2,3.2836,0.170,0.9337,40740
2820,739246080,18455.2,1786126202.2,3.2567,0.175,0.9403,40639
2840,744488960,18584.1,1786126331.1,3.3031,0.171,0.9470,40659
2860,749731840,18713.0,1786126460.0,3.2920,0.163,0.9537,40673
2880,754974720,18841.9,1786126588.9,3.3291,0.171,0.9603,40675
2900,760217600,18970.9,1786126717.9,3.2339,0.172,0.9670,40659
2920,765460480,19099.9,1786126846.9,3.2693,0.166,0.9737,40642
2940,770703360,19228.9,1786126975.9,3.3008,0.178,0.9803,40648
2960,775946240,19357.9,1786127104.9,3.3680,0.198,0.9870,40635
2980,781189120,19487.0,1786127234.0,3.2930,0.158,0.9937,40599
3000,786432000,19616.0,1786127363.0,3.1573,0.162,1.0000,40644
3020,791674880,19762.5,1786127509.5,3.2854,0.169,1.0000,35800
3040,796917760,19891.5,1786127638.5,3.2174,0.166,1.0000,40643
3060,802160640,20020.4,1786127767.4,3.2774,0.145,1.0000,40663
3080,807403520,20149.7,1786127896.7,3.2505,0.148,1.0000,40554
3100,812646400,20278.6,1786128025.6,3.2409,0.150,1.0000,40668
3120,817889280,20407.5,1786128154.5,3.2695,0.158,1.0000,40681
3140,823132160,20536.3,1786128283.3,3.2601,0.152,1.0000,40690
3160,828375040,20665.3,1786128412.3,3.2430,0.140,1.0000,40653
3180,833617920,20794.2,1786128541.2,3.2935,0.156,1.0000,40668
