Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 47.1M params | GQA 9q/3kv | Muon+AdamW
step   3460 | loss 3.5432 | grad_norm 0.180 | lr x1.000
step   3480 | loss 3.5074 | grad_norm 0.181 | lr x1.000
step   3500 | loss 3.5044 | grad_norm 0.175 | lr x1.000
           val loss 3.7815
step   3520 | loss 3.5210 | grad_norm 0.184 | lr x1.000
step   3540 | loss 3.5841 | grad_norm 0.171 | lr x1.000
step   3560 | loss 3.5864 | grad_norm 0.187 | lr x1.000
step   3580 | loss 3.5299 | grad_norm 0.165 | lr x1.000
step   3600 | loss 3.4836 | grad_norm 0.175 | lr x1.000
step   3620 | loss 3.5482 | grad_norm 0.163 | lr x1.000
step   3640 | loss 3.4978 | grad_norm 0.170 | lr x1.000
step   3660 | loss 3.5336 | grad_norm 0.192 | lr x1.000
step   3680 | loss 3.5358 | grad_norm 0.179 | lr x1.000
step   3700 | loss 3.4679 | grad_norm 0.181 | lr x1.000
step   3720 | loss 3.5504 | grad_norm 0.181 | lr x1.000
step   3740 | loss 3.5120 | grad_norm 0.174 | lr x1.000
           val loss 3.7936
step   3760 | loss 3.5643 | grad_norm 0.157 | lr x1.000
step   3780 | loss 3.5373 | grad_norm 0.171 | lr x1.000
step   3800 | loss 3.5057 | grad_norm 0.170 | lr x1.000
step   3820 | loss 3.5158 | grad_norm 0.173 | lr x1.000
step   3840 | loss 3.5138 | grad_norm 0.170 | lr x1.000
step   3860 | loss 3.5511 | grad_norm 0.172 | lr x1.000
step   3880 | loss 3.4957 | grad_norm 0.158 | lr x1.000
step   3900 | loss 3.4863 | grad_norm 0.167 | lr x1.000
step   3920 | loss 3.5634 | grad_norm 0.165 | lr x1.000
step   3940 | loss 3.4931 | grad_norm 0.163 | lr x1.000
step   3960 | loss 3.5039 | grad_norm 0.172 | lr x1.000
step   3980 | loss 3.4619 | grad_norm 0.153 | lr x1.000
step   4000 | loss 3.4935 | grad_norm 0.154 | lr x1.000
           val loss 3.7525
step   4020 | loss 3.4506 | grad_norm 0.162 | lr x1.000
step   4040 | loss 3.5875 | grad_norm 0.161 | lr x1.000
step   4060 | loss 3.5613 | grad_norm 0.155 | lr x1.000
step   4080 | loss 3.5005 | grad_norm 0.157 | lr x1.000
step   4100 | loss 3.4244 | grad_norm 0.152 | lr x1.000
step   4120 | loss 3.5143 | grad_norm 0.153 | lr x1.000
step   4140 | loss 3.4824 | grad_norm 0.168 | lr x1.000
step   4160 | loss 3.5010 | grad_norm 0.154 | lr x1.000
step   4180 | loss 3.4680 | grad_norm 0.152 | lr x1.000
step   4200 | loss 3.5903 | grad_norm 0.155 | lr x1.000
step   4220 | loss 3.4469 | grad_norm 0.154 | lr x1.000
step   4240 | loss 3.4734 | grad_norm 0.145 | lr x1.000
           val loss 3.7430
step   4260 | loss 3.4322 | grad_norm 0.159 | lr x1.000
step   4280 | loss 3.5278 | grad_norm 0.154 | lr x1.000
step   4300 | loss 3.4809 | grad_norm 0.153 | lr x1.000
step   4320 | loss 3.4359 | grad_norm 0.153 | lr x1.000
step   4340 | loss 3.4973 | grad_norm 0.157 | lr x1.000
step   4360 | loss 3.4210 | grad_norm 0.150 | lr x1.000
step   4380 | loss 3.4949 | grad_norm 0.137 | lr x1.000
step   4400 | loss 3.3700 | grad_norm 0.156 | lr x1.000
step   4420 | loss 3.4515 | grad_norm 0.146 | lr x1.000
step   4440 | loss 3.4557 | grad_norm 0.160 | lr x1.000
step   4460 | loss 3.4858 | grad_norm 0.149 | lr x1.000
step   4480 | loss 3.4873 | grad_norm 0.142 | lr x1.000
step   4500 | loss 3.5159 | grad_norm 0.157 | lr x1.000
           val loss 3.7609
step   4520 | loss 3.4908 | grad_norm 0.145 | lr x1.000
step   4540 | loss 3.4516 | grad_norm 0.143 | lr x1.000
step   4560 | loss 3.4405 | grad_norm 0.130 | lr x1.000
step   4580 | loss 3.4868 | grad_norm 0.139 | lr x1.000
step   4600 | loss 3.4187 | grad_norm 0.153 | lr x1.000
step   4620 | loss 3.4835 | grad_norm 0.151 | lr x1.000
step   4640 | loss 3.4633 | grad_norm 0.136 | lr x1.000
step   4660 | loss 3.4055 | grad_norm 0.143 | lr x1.000
step   4680 | loss 3.4589 | grad_norm 0.157 | lr x1.000
step   4700 | loss 3.4577 | grad_norm 0.145 | lr x1.000
step   4720 | loss 3.4846 | grad_norm 0.141 | lr x1.000
step   4740 | loss 3.4828 | grad_norm 0.153 | lr x1.000
           val loss 3.7180
step   4760 | loss 3.3832 | grad_norm 0.133 | lr x1.000
step   4780 | loss 3.4067 | grad_norm 0.138 | lr x1.000
step   4800 | loss 3.4246 | grad_norm 0.138 | lr x1.000
step   4820 | loss 3.4208 | grad_norm 0.142 | lr x1.000
step   4840 | loss 3.4850 | grad_norm 0.139 | lr x1.000
step   4860 | loss 3.4630 | grad_norm 0.148 | lr x1.000
step   4880 | loss 3.4612 | grad_norm 0.135 | lr x1.000
step   4900 | loss 3.4276 | grad_norm 0.147 | lr x1.000
step   4920 | loss 3.4686 | grad_norm 0.138 | lr x1.000
step   4940 | loss 3.4756 | grad_norm 0.137 | lr x1.000
step   4960 | loss 3.4114 | grad_norm 0.144 | lr x1.000
step   4980 | loss 3.4486 | grad_norm 0.142 | lr x1.000
step   5000 | loss 3.5006 | grad_norm 0.140 | lr x1.000
           val loss 3.7041
step   5020 | loss 3.4055 | grad_norm 0.139 | lr x1.000
step   5040 | loss 3.4523 | grad_norm 0.130 | lr x1.000
step   5060 | loss 3.4516 | grad_norm 0.146 | lr x1.000
step   5080 | loss 3.4854 | grad_norm 0.144 | lr x1.000
step   5100 | loss 3.4293 | grad_norm 0.140 | lr x1.000
step   5120 | loss 3.4202 | grad_norm 0.148 | lr x1.000
step   5140 | loss 3.4566 | grad_norm 0.140 | lr x1.000
step   5160 | loss 3.4503 | grad_norm 0.141 | lr x1.000
step   5180 | loss 3.4085 | grad_norm 0.136 | lr x1.000
step   5200 | loss 3.4536 | grad_norm 0.131 | lr x1.000
step   5220 | loss 3.4040 | grad_norm 0.135 | lr x1.000
step   5240 | loss 3.4352 | grad_norm 0.140 | lr x1.000
           val loss 3.6965
step   5260 | loss 3.4277 | grad_norm 0.144 | lr x1.000
step   5280 | loss 3.3684 | grad_norm 0.140 | lr x1.000
step   5300 | loss 3.4606 | grad_norm 0.133 | lr x1.000
step   5320 | loss 3.4228 | grad_norm 0.135 | lr x1.000
step   5340 | loss 3.3702 | grad_norm 0.141 | lr x1.000
step   5360 | loss 3.3931 | grad_norm 0.132 | lr x1.000
step   5380 | loss 3.4482 | grad_norm 0.147 | lr x1.000
step   5400 | loss 3.4024 | grad_norm 0.131 | lr x1.000
step   5420 | loss 3.3704 | grad_norm 0.140 | lr x1.000
step   5440 | loss 3.4119 | grad_norm 0.131 | lr x1.000
step   5460 | loss 3.4052 | grad_norm 0.131 | lr x1.000
step   5480 | loss 3.4544 | grad_norm 0.125 | lr x1.000
step   5500 | loss 3.4437 | grad_norm 0.134 | lr x1.000
           val loss 3.6666
step   5520 | loss 3.3783 | grad_norm 0.134 | lr x1.000
step   5540 | loss 3.4319 | grad_norm 0.143 | lr x1.000
step   5560 | loss 3.3665 | grad_norm 0.130 | lr x1.000
step   5580 | loss 3.4024 | grad_norm 0.138 | lr x1.000
step   5600 | loss 3.3966 | grad_norm 0.141 | lr x1.000
step   5620 | loss 3.3672 | grad_norm 0.131 | lr x1.000
step   5640 | loss 3.4615 | grad_norm 0.135 | lr x1.000
step   5660 | loss 3.4431 | grad_norm 0.126 | lr x1.000
step   5680 | loss 3.3867 | grad_norm 0.134 | lr x1.000
step   5700 | loss 3.4059 | grad_norm 0.129 | lr x1.000
step   5720 | loss 3.3787 | grad_norm 0.129 | lr x1.000
step   5740 | loss 3.4720 | grad_norm 0.129 | lr x1.000
           val loss 3.6980
step   5760 | loss 3.3754 | grad_norm 0.128 | lr x1.000
step   5780 | loss 3.3629 | grad_norm 0.130 | lr x1.000
step   5800 | loss 3.4005 | grad_norm 0.132 | lr x1.000
step   5820 | loss 3.4089 | grad_norm 0.132 | lr x1.000
step   5840 | loss 3.3917 | grad_norm 0.136 | lr x1.000
step   5860 | loss 3.4587 | grad_norm 0.119 | lr x1.000
step   5880 | loss 3.4026 | grad_norm 0.130 | lr x1.000
step   5900 | loss 3.3328 | grad_norm 0.142 | lr x1.000
step   5920 | loss 3.4069 | grad_norm 0.137 | lr x1.000
step   5940 | loss 3.3752 | grad_norm 0.134 | lr x1.000
step   5960 | loss 3.4038 | grad_norm 0.132 | lr x1.000
step   5980 | loss 3.3948 | grad_norm 0.135 | lr x1.000
step   6000 | loss 3.3843 | grad_norm 0.131 | lr x1.000
           val loss 3.6626
step   6020 | loss 3.3694 | grad_norm 0.133 | lr x1.000
step   6040 | loss 3.3509 | grad_norm 0.126 | lr x1.000
step   6060 | loss 3.3791 | grad_norm 0.130 | lr x1.000
step   6080 | loss 3.3864 | grad_norm 0.139 | lr x1.000
step   6100 | loss 3.2810 | grad_norm 0.129 | lr x1.000
step   6120 | loss 3.3667 | grad_norm 0.136 | lr x1.000
step   6140 | loss 3.3850 | grad_norm 0.142 | lr x1.000
step   6160 | loss 3.3529 | grad_norm 0.122 | lr x1.000
step   6180 | loss 3.4033 | grad_norm 0.139 | lr x1.000
step   6200 | loss 3.3838 | grad_norm 0.130 | lr x1.000
step   6220 | loss 3.4389 | grad_norm 0.126 | lr x1.000
step   6240 | loss 3.4153 | grad_norm 0.141 | lr x1.000
           val loss 3.6607
step   6260 | loss 3.4379 | grad_norm 0.144 | lr x1.000
step   6280 | loss 3.3695 | grad_norm 0.124 | lr x1.000
step   6300 | loss 3.3334 | grad_norm 0.129 | lr x1.000
step   6320 | loss 3.3094 | grad_norm 0.124 | lr x1.000
step   6340 | loss 3.3733 | grad_norm 0.131 | lr x1.000
step   6360 | loss 3.4383 | grad_norm 0.139 | lr x1.000
step   6380 | loss 3.4058 | grad_norm 0.125 | lr x1.000
step   6400 | loss 3.4134 | grad_norm 0.126 | lr x1.000
step   6420 | loss 3.4335 | grad_norm 0.127 | lr x1.000
step   6440 | loss 3.4616 | grad_norm 0.126 | lr x1.000
step   6460 | loss 3.3995 | grad_norm 0.121 | lr x1.000
step   6480 | loss 3.4047 | grad_norm 0.129 | lr x1.000
step   6500 | loss 3.2680 | grad_norm 0.121 | lr x1.000
           val loss 3.6590
step   6520 | loss 3.3994 | grad_norm 0.123 | lr x1.000
step   6540 | loss 3.2923 | grad_norm 0.128 | lr x1.000
step   6560 | loss 3.3499 | grad_norm 0.132 | lr x1.000
step   6580 | loss 3.4083 | grad_norm 0.127 | lr x1.000
step   6600 | loss 3.3884 | grad_norm 0.130 | lr x1.000
step   6620 | loss 3.3494 | grad_norm 0.129 | lr x1.000
step   6640 | loss 3.3574 | grad_norm 0.118 | lr x1.000
step   6660 | loss 3.3972 | grad_norm 0.140 | lr x1.000
step   6680 | loss 3.3910 | grad_norm 0.118 | lr x1.000
step   6700 | loss 3.3256 | grad_norm 0.120 | lr x1.000
step   6720 | loss 3.4065 | grad_norm 0.125 | lr x1.000
step   6740 | loss 3.3419 | grad_norm 0.131 | lr x1.000
           val loss 3.6456
step   6760 | loss 3.3576 | grad_norm 0.125 | lr x1.000
step   6780 | loss 3.4322 | grad_norm 0.125 | lr x1.000
step   6800 | loss 3.3455 | grad_norm 0.121 | lr x1.000
step   6820 | loss 3.3748 | grad_norm 0.133 | lr x1.000
step   6840 | loss 3.3447 | grad_norm 0.126 | lr x1.000
step   6860 | loss 3.3851 | grad_norm 0.118 | lr x1.000
step   6880 | loss 3.3756 | grad_norm 0.124 | lr x1.000
step   6900 | loss 3.3239 | grad_norm 0.126 | lr x1.000
step   6920 | loss 3.3835 | grad_norm 0.135 | lr x1.000
step   6940 | loss 3.3720 | grad_norm 0.132 | lr x1.000
step   6960 | loss 3.3362 | grad_norm 0.121 | lr x1.000
step   6980 | loss 3.4113 | grad_norm 0.127 | lr x1.000
step   7000 | loss 3.3494 | grad_norm 0.118 | lr x1.000
           val loss 3.6455
step   7020 | loss 3.3465 | grad_norm 0.125 | lr x1.000
step   7040 | loss 3.3667 | grad_norm 0.130 | lr x1.000
step   7060 | loss 3.3740 | grad_norm 0.128 | lr x1.000
step   7080 | loss 3.4110 | grad_norm 0.122 | lr x1.000
step   7100 | loss 3.3585 | grad_norm 0.129 | lr x1.000
step   7120 | loss 3.3043 | grad_norm 0.125 | lr x1.000
step   7140 | loss 3.3421 | grad_norm 0.120 | lr x1.000
step   7160 | loss 3.3377 | grad_norm 0.129 | lr x1.000
step   7180 | loss 3.3845 | grad_norm 0.116 | lr x1.000
step   7200 | loss 3.3342 | grad_norm 0.123 | lr x1.000
step   7220 | loss 3.3728 | grad_norm 0.115 | lr x1.000
step   7240 | loss 3.3778 | grad_norm 0.122 | lr x1.000
           val loss 3.6533
step   7260 | loss 3.3752 | grad_norm 0.130 | lr x1.000
step   7280 | loss 3.3605 | grad_norm 0.118 | lr x1.000
step   7300 | loss 3.3141 | grad_norm 0.118 | lr x1.000
step   7320 | loss 3.3367 | grad_norm 0.118 | lr x1.000
step   7340 | loss 3.3743 | grad_norm 0.126 | lr x1.000
step   7360 | loss 3.3546 | grad_norm 0.128 | lr x1.000
step   7380 | loss 3.3137 | grad_norm 0.124 | lr x1.000
step   7400 | loss 3.3719 | grad_norm 0.118 | lr x1.000
step   7420 | loss 3.3319 | grad_norm 0.125 | lr x1.000
step   7440 | loss 3.3152 | grad_norm 0.120 | lr x1.000
step   7460 | loss 3.3987 | grad_norm 0.122 | lr x1.000
step   7480 | loss 3.3770 | grad_norm 0.126 | lr x1.000
step   7500 | loss 3.3849 | grad_norm 0.122 | lr x1.000
           val loss 3.6357
step   7520 | loss 3.3471 | grad_norm 0.125 | lr x1.000
step   7540 | loss 3.3404 | grad_norm 0.123 | lr x1.000
step   7560 | loss 3.3447 | grad_norm 0.127 | lr x1.000
step   7580 | loss 3.3339 | grad_norm 0.131 | lr x1.000
step   7600 | loss 3.3800 | grad_norm 0.118 | lr x1.000
step   7620 | loss 3.3866 | grad_norm 0.117 | lr x1.000
step   7640 | loss 3.3601 | grad_norm 0.125 | lr x1.000
step   7660 | loss 3.3077 | grad_norm 0.120 | lr x1.000
step   7680 | loss 3.3687 | grad_norm 0.117 | lr x1.000
step   7700 | loss 3.2710 | grad_norm 0.121 | lr x1.000
step   7720 | loss 3.3179 | grad_norm 0.125 | lr x1.000
step   7740 | loss 3.2974 | grad_norm 0.118 | lr x1.000
           val loss 3.6088
step   7760 | loss 3.3732 | grad_norm 0.119 | lr x1.000
step   7780 | loss 3.4172 | grad_norm 0.124 | lr x1.000
step   7800 | loss 3.2731 | grad_norm 0.128 | lr x1.000
step   7820 | loss 3.3421 | grad_norm 0.122 | lr x1.000
step   7840 | loss 3.3551 | grad_norm 0.128 | lr x1.000
step   7860 | loss 3.3324 | grad_norm 0.122 | lr x1.000
step   7880 | loss 3.3479 | grad_norm 0.125 | lr x1.000
step   7900 | loss 3.3362 | grad_norm 0.131 | lr x1.000
step   7920 | loss 3.3374 | grad_norm 0.124 | lr x1.000
step   7940 | loss 3.3748 | grad_norm 0.117 | lr x1.000
step   7960 | loss 3.3231 | grad_norm 0.112 | lr x1.000
step   7980 | loss 3.3377 | grad_norm 0.131 | lr x1.000
step   8000 | loss 3.2816 | grad_norm 0.117 | lr x1.000
           val loss 3.6199
step   8020 | loss 3.3131 | grad_norm 0.114 | lr x1.000
step   8040 | loss 3.3100 | grad_norm 0.120 | lr x1.000
step   8060 | loss 3.3281 | grad_norm 0.114 | lr x1.000
step   8080 | loss 3.2856 | grad_norm 0.119 | lr x1.000
step   8100 | loss 3.3463 | grad_norm 0.126 | lr x1.000
step   8120 | loss 3.2964 | grad_norm 0.118 | lr x1.000
step   8140 | loss 3.3347 | grad_norm 0.132 | lr x1.000
