step,tokens,elapsed_s,loss,grad_norm,lr_mult
5520,1447034880,7404.9,3.3783,0.134,1.0000
5540,1452277760,7430.3,3.4319,0.143,1.0000
5560,1457520640,7455.9,3.3665,0.130,1.0000
5580,1462763520,7481.3,3.4024,0.138,1.0000
5600,1468006400,7506.7,3.3966,0.141,1.0000
5620,1473249280,7532.1,3.3672,0.131,1.0000
5640,1478492160,7557.8,3.4615,0.135,1.0000
5660,1483735040,7583.2,3.4431,0.126,1.0000
5680,1488977920,7608.9,3.3867,0.134,1.0000
5700,1494220800,7634.3,3.4059,0.129,1.0000
5720,1499463680,7659.8,3.3787,0.129,1.0000
5740,1504706560,7685.5,3.4720,0.129,1.0000
5760,1509949440,7715.2,3.3754,0.128,1.0000
5780,1515192320,7740.6,3.3629,0.130,1.0000
5800,1520435200,7766.0,3.4005,0.132,1.0000
5820,1525678080,7791.6,3.4089,0.132,1.0000
5840,1530920960,7817.0,3.3917,0.136,1.0000
5860,1536163840,7842.5,3.4587,0.119,1.0000
5880,1541406720,7867.9,3.4026,0.130,1.0000
5900,1546649600,7893.5,3.3328,0.142,1.0000
5920,1551892480,7919.0,3.4069,0.137,1.0000
5940,1557135360,7944.6,3.3752,0.134,1.0000
5960,1562378240,7970.0,3.4038,0.132,1.0000
5980,1567621120,7995.7,3.3948,0.135,1.0000
6000,1572864000,8021.1,3.3843,0.131,1.0000
6020,1578106880,8050.1,3.3694,0.133,1.0000
6040,1583349760,8075.5,3.3509,0.126,1.0000
6060,1588592640,8101.1,3.3791,0.130,1.0000
6080,1593835520,8126.5,3.3864,0.139,1.0000
6100,1599078400,8151.9,3.2810,0.129,1.0000
6120,1604321280,8177.4,3.3667,0.136,1.0000
6140,1609564160,8203.0,3.3850,0.142,1.0000
6160,1614807040,8228.5,3.3529,0.122,1.0000
6180,1620049920,8254.5,3.4033,0.139,1.0000
6200,1625292800,8279.9,3.3838,0.130,1.0000
6220,1630535680,8305.5,3.4389,0.126,1.0000
6240,1635778560,8330.9,3.4153,0.141,1.0000
6260,1641021440,8359.6,3.4379,0.144,1.0000
6280,1646264320,8385.1,3.3695,0.124,1.0000
6300,1651507200,8410.5,3.3334,0.129,1.0000
6320,1656750080,8436.1,3.3094,0.124,1.0000
6340,1661992960,8461.6,3.3733,0.131,1.0000
6360,1667235840,8487.1,3.4383,0.139,1.0000
6380,1672478720,8512.6,3.4058,0.125,1.0000
6400,1677721600,8538.0,3.4134,0.126,1.0000
6420,1682964480,8563.7,3.4335,0.127,1.0000
6440,1688207360,8589.1,3.4616,0.126,1.0000
6460,1693450240,8614.5,3.3995,0.121,1.0000
6480,1698693120,8640.0,3.4047,0.129,1.0000
6500,1703936000,8665.4,3.2680,0.121,1.0000
6520,1709178880,8694.1,3.3994,0.123,1.0000
6540,1714421760,8719.5,3.2923,0.128,1.0000
6560,1719664640,8745.0,3.3499,0.132,1.0000
6580,1724907520,8770.5,3.4083,0.127,1.0000
6600,1730150400,8795.9,3.3884,0.130,1.0000
6620,1735393280,8821.3,3.3494,0.129,1.0000
6640,1740636160,8847.1,3.3574,0.118,1.0000
6660,1745879040,8872.7,3.3972,0.140,1.0000
6680,1751121920,8898.3,3.3910,0.118,1.0000
6700,1756364800,8923.7,3.3256,0.120,1.0000
6720,1761607680,8949.8,3.4065,0.125,1.0000
6740,1766850560,8976.0,3.3419,0.131,1.0000
6760,1772093440,9010.2,3.3576,0.125,1.0000
6780,1777336320,9037.8,3.4322,0.125,1.0000
6800,1782579200,9063.3,3.3455,0.121,1.0000
6820,1787822080,9089.8,3.3748,0.133,1.0000
6840,1793064960,9115.3,3.3447,0.126,1.0000
6860,1798307840,9140.7,3.3851,0.118,1.0000
6880,1803550720,9166.1,3.3756,0.124,1.0000
6900,1808793600,9191.6,3.3239,0.126,1.0000
6920,1814036480,9217.1,3.3835,0.135,1.0000
6940,1819279360,9242.8,3.3720,0.132,1.0000
6960,1824522240,9268.2,3.3362,0.121,1.0000
6980,1829765120,9294.0,3.4113,0.127,1.0000
7000,1835008000,9319.4,3.3494,0.118,1.0000
7020,1840250880,9348.1,3.3465,0.125,1.0000
7040,1845493760,9373.6,3.3667,0.130,1.0000
7060,1850736640,9399.5,3.3740,0.128,1.0000
7080,1855979520,9425.0,3.4110,0.122,1.0000
7100,1861222400,9450.4,3.3585,0.129,1.0000
7120,1866465280,9475.9,3.3043,0.125,1.0000
7140,1871708160,9501.7,3.3421,0.120,1.0000
7160,1876951040,9527.2,3.3377,0.129,1.0000
7180,1882193920,9552.8,3.3845,0.116,1.0000
7200,1887436800,9578.2,3.3342,0.123,1.0000
7220,1892679680,9603.6,3.3728,0.115,1.0000
7240,1897922560,9629.0,3.3778,0.122,1.0000
7260,1903165440,9657.5,3.3752,0.130,1.0000
7280,1908408320,9683.1,3.3605,0.118,1.0000
7300,1913651200,9708.7,3.3141,0.118,1.0000
7320,1918894080,9734.5,3.3367,0.118,1.0000
7340,1924136960,9759.9,3.3743,0.126,1.0000
7360,1929379840,9785.5,3.3546,0.128,1.0000
7380,1934622720,9811.0,3.3137,0.124,1.0000
7400,1939865600,9836.6,3.3719,0.118,1.0000
7420,1945108480,9862.0,3.3319,0.125,1.0000
7440,1950351360,9887.4,3.3152,0.120,1.0000
7460,1955594240,9912.8,3.3987,0.122,1.0000
7480,1960837120,9938.5,3.3770,0.126,1.0000
7500,1966080000,9964.4,3.3849,0.122,1.0000
7520,1971322880,9993.2,3.3471,0.125,1.0000
7540,1976565760,10018.8,3.3404,0.123,1.0000
7560,1981808640,10044.7,3.3447,0.127,1.0000
7580,1987051520,10070.4,3.3339,0.131,1.0000
7600,1992294400,10096.0,3.3800,0.118,1.0000
7620,1997537280,10121.6,3.3866,0.117,1.0000
7640,2002780160,10147.6,3.3601,0.125,1.0000
7660,2008023040,10173.4,3.3077,0.120,1.0000
7680,2013265920,10199.0,3.3687,0.117,1.0000
7700,2018508800,10224.6,3.2710,0.121,1.0000
7720,2023751680,10250.4,3.3179,0.125,1.0000
7740,2028994560,10276.1,3.2974,0.118,1.0000
7760,2034237440,10304.7,3.3732,0.119,1.0000
7780,2039480320,10330.4,3.4172,0.124,1.0000
7800,2044723200,10356.0,3.2731,0.128,1.0000
7820,2049966080,10381.7,3.3421,0.122,1.0000
7840,2055208960,10407.2,3.3551,0.128,1.0000
7860,2060451840,10433.0,3.3324,0.122,1.0000
7880,2065694720,10458.5,3.3479,0.125,1.0000
7900,2070937600,10484.2,3.3362,0.131,1.0000
7920,2076180480,10509.7,3.3374,0.124,1.0000
7940,2081423360,10535.2,3.3748,0.117,1.0000
7960,2086666240,10560.7,3.3231,0.112,1.0000
7980,2091909120,10586.2,3.3377,0.131,1.0000
8000,2097152000,10611.7,3.2816,0.117,1.0000
8020,2102394880,10640.4,3.3131,0.114,1.0000
8040,2107637760,10665.9,3.3100,0.120,1.0000
8060,2112880640,10691.3,3.3281,0.114,1.0000
8080,2118123520,10716.8,3.2856,0.119,1.0000
8100,2123366400,10742.4,3.3463,0.126,1.0000
8120,2128609280,10768.2,3.2964,0.118,1.0000
8140,2133852160,10794.0,3.3347,0.132,1.0000
8160,2139095040,10819.6,3.3311,0.121,1.0000
8180,2144337920,10845.5,3.2735,0.116,1.0000
8200,2149580800,10871.1,3.3371,0.124,1.0000
8220,2154823680,10896.7,3.2765,0.118,1.0000
8240,2160066560,10922.3,3.2397,0.124,1.0000
8260,2165309440,10950.8,3.3640,0.130,1.0000
8280,2170552320,10976.5,3.3692,0.118,1.0000
8300,2175795200,11002.1,3.3025,0.131,1.0000
8320,2181038080,11027.7,3.2853,0.125,1.0000
8340,2186280960,11053.3,3.3044,0.123,1.0000
8360,2191523840,11079.2,3.3337,0.117,1.0000
8380,2196766720,11104.8,3.2990,0.113,1.0000
8400,2202009600,11130.7,3.3728,0.125,1.0000
8420,2207252480,11156.3,3.3344,0.123,1.0000
8440,2212495360,11181.9,3.3110,0.116,1.0000
8460,2217738240,11207.5,3.3346,0.119,1.0000
8480,2222981120,11233.2,3.2944,0.121,1.0000
8500,2228224000,11259.1,3.3485,0.113,1.0000
8520,2233466880,11288.0,3.3603,0.124,1.0000
8540,2238709760,11313.5,3.3611,0.121,1.0000
8560,2243952640,11339.3,3.3384,0.121,1.0000
8580,2249195520,11364.8,3.2973,0.122,1.0000
8600,2254438400,11390.6,3.3555,0.113,1.0000
8620,2259681280,11416.2,3.2853,0.120,1.0000
8640,2264924160,11441.9,3.2693,0.115,1.0000
8660,2270167040,11467.5,3.3007,0.115,1.0000
8680,2275409920,11493.1,3.3746,0.121,1.0000
8700,2280652800,11518.7,3.3407,0.119,1.0000
8720,2285895680,11544.1,3.3623,0.112,1.0000
8740,2291138560,11569.6,3.3193,0.127,1.0000
8760,2296381440,11598.3,3.3281,0.133,1.0000
8780,2301624320,11623.9,3.3201,0.120,1.0000
8800,2306867200,11649.4,3.3142,0.109,1.0000
8820,2312110080,11675.1,3.2628,0.107,1.0000
8840,2317352960,11700.6,3.3807,0.117,1.0000
8860,2322595840,11726.4,3.2946,0.117,1.0000
8880,2327838720,11751.8,3.3690,0.125,1.0000
8900,2333081600,11777.7,3.3452,0.113,1.0000
8920,2338324480,11803.1,3.3213,0.121,1.0000
8940,2343567360,11828.6,3.2954,0.112,1.0000
8960,2348810240,11854.1,3.3296,0.119,1.0000
8980,2354053120,11879.7,3.3254,0.128,1.0000
9000,2359296000,11905.2,3.3063,0.121,1.0000
9020,2364538880,11934.6,3.2986,0.113,1.0000
9040,2369781760,11960.1,3.3311,0.112,1.0000
9060,2375024640,11985.7,3.3284,0.117,1.0000
9080,2380267520,12011.2,3.3278,0.119,1.0000
9100,2385510400,12036.6,3.3244,0.114,1.0000
9120,2390753280,12062.0,3.2658,0.119,1.0000
9140,2395996160,12087.7,3.2889,0.122,1.0000
9160,2401239040,12113.1,3.3070,0.121,1.0000
9180,2406481920,12138.8,3.3384,0.111,1.0000
9200,2411724800,12164.3,3.2794,0.124,1.0000
9220,2416967680,12189.9,3.3323,0.112,1.0000
9240,2422210560,12215.3,3.3366,0.110,1.0000
9260,2427453440,12243.6,3.3650,0.115,1.0000
9280,2432696320,12269.4,3.2801,0.113,1.0000
9300,2437939200,12295.1,3.3559,0.128,1.0000
9320,2443182080,12320.8,3.3507,0.112,1.0000
9340,2448424960,12346.3,3.3614,0.117,1.0000
9360,2453667840,12372.0,3.3475,0.113,1.0000
9380,2458910720,12397.4,3.3580,0.108,1.0000
9400,2464153600,12423.0,3.2737,0.110,1.0000
9420,2469396480,12448.4,3.2484,0.108,1.0000
9440,2474639360,12473.9,3.3327,0.113,1.0000
9460,2479882240,12499.3,3.3156,0.111,1.0000
9480,2485125120,12524.7,3.2842,0.113,1.0000
9500,2490368000,12550.1,3.2746,0.114,1.0000
9520,2495610880,12578.9,3.2998,0.118,1.0000
9540,2500853760,12604.4,3.2740,0.121,1.0000
9560,2506096640,12630.1,3.3492,0.116,1.0000
9580,2511339520,12655.8,3.3911,0.112,1.0000
9600,2516582400,12681.4,3.2997,0.117,1.0000
9620,2521825280,12706.8,3.3563,0.116,1.0000
9640,2527068160,12732.3,3.3103,0.106,1.0000
9660,2532311040,12757.7,3.3144,0.112,1.0000
9680,2537553920,12783.3,3.3375,0.110,1.0000
9700,2542796800,12808.7,3.3019,0.120,1.0000
9720,2548039680,12834.3,3.3582,0.111,1.0000
9740,2553282560,12859.7,3.2380,0.107,1.0000
9760,2558525440,12888.8,3.3113,0.120,1.0000
9780,2563768320,12914.5,3.2721,0.115,1.0000
9800,2569011200,12939.8,3.3716,0.116,1.0000
9820,2574254080,12965.4,3.2871,0.111,1.0000
9840,2579496960,12990.9,3.2381,0.114,1.0000
9860,2584739840,13016.3,3.3113,0.124,1.0000
9880,2589982720,13041.7,3.3628,0.116,1.0000
9900,2595225600,13067.4,3.2399,0.113,1.0000
9920,2600468480,13093.1,3.2349,0.108,1.0000
9940,2605711360,13118.5,3.3035,0.110,1.0000
9960,2610954240,13144.0,3.3108,0.109,1.0000
9980,2616197120,13169.5,3.2913,0.108,1.0000
10000,2621440000,13195.0,3.3407,0.120,1.0000
10020,2626682880,13223.4,3.3834,0.115,1.0000
10040,2631925760,13248.9,3.2594,0.115,1.0000
10060,2637168640,13274.5,3.2935,0.110,1.0000
10080,2642411520,13299.9,3.1992,0.111,1.0000
10100,2647654400,13325.4,3.2059,0.112,1.0000
10120,2652897280,13350.9,3.3086,0.112,1.0000
10140,2658140160,13376.3,3.3438,0.113,1.0000
10160,2663383040,13401.7,3.2709,0.116,1.0000
10180,2668625920,13427.5,3.2913,0.105,1.0000
10200,2673868800,13453.0,3.2666,0.109,1.0000
10220,2679111680,13478.4,3.2677,0.117,1.0000
10240,2684354560,13503.8,3.2807,0.109,1.0000
10260,2689597440,13531.9,3.2508,0.113,1.0000
10280,2694840320,13557.3,3.3024,0.114,1.0000
10300,2700083200,13582.7,3.3321,0.113,1.0000
10320,2705326080,13608.2,3.2882,0.113,1.0000
10340,2710568960,13633.6,3.2928,0.108,1.0000
10360,2715811840,13659.1,3.3198,0.115,1.0000
