Corpus: 5,402,429,161 tokens (54,024,291 val) | device: cuda | bf16 + FlashAttention
Model: 349.1M params | GQA 18q/6kv | Muon+AdamW
step   3680 | loss 3.2636 | grad_norm 0.125 | lr x1.000
step   3700 | loss 3.2078 | grad_norm 0.126 | lr x1.000
step   3720 | loss 3.2239 | grad_norm 0.123 | lr x1.000
step   3740 | loss 3.1617 | grad_norm 0.119 | lr x1.000
           val loss 3.4551
step   3760 | loss 3.2081 | grad_norm 0.125 | lr x1.000
step   3780 | loss 3.1819 | grad_norm 0.121 | lr x1.000
step   3800 | loss 3.2206 | grad_norm 0.128 | lr x1.000
step   3820 | loss 3.1728 | grad_norm 0.120 | lr x1.000
step   3840 | loss 3.2148 | grad_norm 0.120 | lr x1.000
step   3860 | loss 3.1487 | grad_norm 0.117 | lr x1.000
step   3880 | loss 3.1670 | grad_norm 0.122 | lr x1.000
step   3900 | loss 3.1558 | grad_norm 0.119 | lr x1.000
step   3920 | loss 3.1448 | grad_norm 0.123 | lr x1.000
step   3940 | loss 3.1823 | grad_norm 0.125 | lr x1.000
step   3960 | loss 3.1878 | grad_norm 0.123 | lr x1.000
step   3980 | loss 3.1693 | grad_norm 0.121 | lr x1.000
step   4000 | loss 3.1270 | grad_norm 0.124 | lr x1.000
           val loss 3.4529
step   4020 | loss 3.1210 | grad_norm 0.120 | lr x1.000
step   4040 | loss 3.1809 | grad_norm 0.118 | lr x1.000
step   4060 | loss 3.1427 | grad_norm 0.120 | lr x1.000
step   4080 | loss 3.1316 | grad_norm 0.121 | lr x1.000
step   4100 | loss 3.1414 | grad_norm 0.132 | lr x1.000
step   4120 | loss 3.1896 | grad_norm 0.125 | lr x1.000
step   4140 | loss 3.1700 | grad_norm 0.120 | lr x1.000
step   4160 | loss 3.1184 | grad_norm 0.115 | lr x1.000
step   4180 | loss 3.1635 | grad_norm 0.119 | lr x1.000
step   4200 | loss 3.1654 | grad_norm 0.118 | lr x1.000
step   4220 | loss 3.1393 | grad_norm 0.123 | lr x1.000
step   4240 | loss 3.1547 | grad_norm 0.128 | lr x1.000
           val loss 3.4673
step   4260 | loss 3.1280 | grad_norm 0.113 | lr x1.000
step   4280 | loss 3.1434 | grad_norm 0.119 | lr x1.000
step   4300 | loss 3.1498 | grad_norm 0.117 | lr x1.000
step   4320 | loss 3.1265 | grad_norm 0.114 | lr x1.000
step   4340 | loss 3.1257 | grad_norm 0.122 | lr x1.000
step   4360 | loss 3.0566 | grad_norm 0.113 | lr x1.000
step   4380 | loss 3.1501 | grad_norm 0.112 | lr x1.000
step   4400 | loss 3.1482 | grad_norm 0.115 | lr x1.000
step   4420 | loss 3.0732 | grad_norm 0.115 | lr x1.000
step   4440 | loss 3.1454 | grad_norm 0.115 | lr x1.000
step   4460 | loss 3.1389 | grad_norm 0.113 | lr x1.000
step   4480 | loss 3.1176 | grad_norm 0.115 | lr x1.000
step   4500 | loss 3.1908 | grad_norm 0.124 | lr x1.000
           val loss 3.4258
step   4520 | loss 3.1501 | grad_norm 0.112 | lr x1.000
step   4540 | loss 3.1271 | grad_norm 0.115 | lr x1.000
step   4560 | loss 3.0889 | grad_norm 0.110 | lr x1.000
step   4580 | loss 3.1435 | grad_norm 0.116 | lr x1.000
step   4600 | loss 3.1013 | grad_norm 0.114 | lr x1.000
step   4620 | loss 3.1150 | grad_norm 0.113 | lr x1.000
step   4640 | loss 3.0537 | grad_norm 0.112 | lr x1.000
step   4660 | loss 3.1444 | grad_norm 0.119 | lr x1.000
step   4680 | loss 3.1069 | grad_norm 0.113 | lr x1.000
step   4700 | loss 3.1291 | grad_norm 0.115 | lr x1.000
step   4720 | loss 3.0992 | grad_norm 0.115 | lr x1.000
step   4740 | loss 3.0504 | grad_norm 0.113 | lr x1.000
           val loss 3.4481
step   4760 | loss 3.0948 | grad_norm 0.117 | lr x1.000
step   4780 | loss 3.1296 | grad_norm 0.117 | lr x1.000
step   4800 | loss 3.0939 | grad_norm 0.110 | lr x1.000
step   4820 | loss 3.0454 | grad_norm 0.115 | lr x1.000
step   4840 | loss 3.0729 | grad_norm 0.108 | lr x1.000
step   4860 | loss 3.0579 | grad_norm 0.109 | lr x1.000
step   4880 | loss 3.0760 | grad_norm 0.109 | lr x1.000
step   4900 | loss 3.0882 | grad_norm 0.113 | lr x1.000
step   4920 | loss 3.1756 | grad_norm 0.117 | lr x1.000
step   4940 | loss 3.1386 | grad_norm 0.118 | lr x1.000
step   4960 | loss 3.1391 | grad_norm 0.107 | lr x1.000
step   4980 | loss 3.1135 | grad_norm 0.108 | lr x1.000
step   5000 | loss 3.0686 | grad_norm 0.112 | lr x1.000
           val loss 3.4196
step   5020 | loss 3.0908 | grad_norm 0.106 | lr x1.000
