step,tokens,elapsed_s,loss,grad_norm,lr_mult
4920,644874240,,3.4797,0.125,1.000
4940,647495680,,3.3885,0.122,1.000
4960,650117120,,3.5681,0.128,1.000
4980,652738560,,3.3505,0.125,1.000
5000,655360000,,3.4902,0.127,1.000
5020,657981440,,3.3950,0.128,1.000
5040,660602880,,3.3813,0.124,1.000
5060,663224320,,3.4263,0.131,1.000
5080,665845760,,3.3782,0.126,1.000
5100,668467200,,3.5428,0.130,1.000
5120,671088640,,3.4327,0.126,1.000
5140,673710080,,3.4787,0.125,1.000
5160,676331520,,3.3820,0.122,1.000
5180,678952960,,3.4480,0.126,1.000
5200,681574400,,3.3694,0.123,1.000
5220,684195840,,3.4346,0.130,1.000
5240,686817280,,3.4242,0.124,1.000
5260,689438720,,3.3573,0.121,1.000
5280,692060160,,3.3817,0.120,1.000
5300,694681600,,3.3883,0.124,1.000
5320,697303040,,3.4513,0.131,1.000
5340,699924480,,3.3971,0.131,1.000
5360,702545920,,3.3593,0.123,1.000
5380,705167360,,3.4235,0.122,1.000
5400,707788800,,3.3297,0.125,1.000
5420,710410240,,3.4263,0.123,1.000
5440,713031680,,3.4320,0.123,1.000
5460,715653120,,3.4294,0.131,1.000
5480,718274560,,3.4034,0.123,1.000
5500,720896000,,3.3924,0.122,1.000
5520,723517440,,3.4554,0.123,1.000
5540,726138880,,3.4227,0.130,1.000
5560,728760320,,3.4061,0.121,1.000
5580,731381760,,3.4105,0.127,1.000
5600,734003200,,3.3864,0.123,1.000
5620,736624640,,3.4472,0.121,1.000
5640,739246080,,3.3541,0.120,1.000
5660,741867520,,3.4460,0.129,1.000
5680,744488960,,3.5032,0.124,1.000
5700,747110400,,3.4942,0.120,1.000
5720,749731840,,3.3561,0.121,1.000
5740,752353280,,3.4117,0.129,1.000
5760,754974720,,3.3774,0.121,1.000
5780,757596160,,3.4020,0.122,1.000
5800,760217600,,3.4041,0.122,1.000
5820,762839040,,3.3285,0.124,1.000
5840,765460480,,3.3467,0.122,1.000
5860,768081920,,3.2499,0.121,1.000
5880,770703360,,3.2508,0.121,1.000
5900,773324800,,3.3807,0.120,1.000
5920,775946240,,3.3533,0.127,1.000
